guid,id,map,x,y,z,o,zone_id,area_id
90,11865,0,-5041.530,-1197.250,508.985,5.271,1537,1537
91,14365,0,-4956.430,-906.791,503.922,3.836,1537,1537
92,5126,0,-5030.410,-1147.300,512.063,2.042,1537,1537
93,5125,0,-5032.960,-1139.380,505.396,3.438,1537,1537
94,5129,0,-5033.390,-1146.080,505.396,3.177,1537,1537
95,5138,0,-4883.200,-1149.060,505.853,5.306,1537,1537
96,5137,0,-4881.240,-1155.520,505.853,5.341,1537,1537
97,5595,0,-4883.040,-1115.600,502.296,3.167,1537,1537
98,5100,0,-4958.070,-1015.150,503.950,4.171,1537,1537
99,5101,0,-4962.100,-1023.770,503.952,1.134,1537,1537
100,2790,0,-5033.810,-1022.230,508.876,3.760,1537,1537
101,5595,0,-4946.280,-1013.470,501.524,1.187,1537,1537
102,5132,0,-4963.590,-1014.190,503.952,5.236,1537,1537
103,5130,0,-5016.190,-997.442,503.966,2.793,1537,1537
104,5049,0,-5020.170,-1000.650,503.964,1.990,1537,1537
105,5595,0,-5003.920,-1117.330,501.758,0.723,1537,1537
106,5595,0,-4981.890,-949.898,501.743,5.637,1537,1537
107,5595,0,-4995.790,-969.667,501.659,5.847,1537,1537
108,6175,0,-4895.610,-898.098,501.743,2.286,1537,1537
109,14363,0,-4896.550,-996.009,504.024,0.696,1537,1537
110,5102,0,-4916.000,-996.633,502.080,4.032,1537,1537
111,5099,0,-4895.640,-1004.660,504.024,2.234,1537,1537
112,5103,0,-4914.140,-998.025,502.080,4.102,1537,1537
113,13843,0,-4903.010,-968.237,501.533,2.478,1537,1537
114,5595,0,-4906.750,-977.520,501.440,2.251,1537,1537
115,5595,0,-4902.070,-973.796,501.446,2.269,1537,1537
117,9560,0,-8378.540,-2748.940,186.725,4.381,46,2418
119,9859,0,-4967.860,-917.619,505.169,0.785,1537,1537
121,5595,0,-4986.550,-963.816,501.743,5.707,1537,1537
122,5109,0,-4925.120,-947.695,501.649,4.042,1537,1537
123,9565,0,-8380.580,-2751.880,187.122,0.785,46,2418
124,9561,0,-8398.890,-2768.590,194.881,0.471,46,2418
125,9563,0,-7495.020,-2170.950,165.536,1.501,46,251
126,8720,0,-4963.190,-904.619,505.170,5.428,1537,1537
127,8671,0,-4948.010,-901.528,505.172,3.805,1537,1537
128,5595,0,-4975.550,-875.627,501.660,3.840,1537,1537
129,5595,0,-4989.410,-887.231,501.659,0.698,1537,1537
131,5595,0,-4914.670,-894.865,501.743,5.184,1537,1537
132,5595,0,-5030.980,-832.871,495.377,1.920,1,809
133,5595,0,-5021.620,-823.532,495.877,2.356,1,809
134,5595,0,-4902.160,-895.619,501.743,5.236,1537,1537
135,5595,0,-5083.850,-811.471,495.174,1.484,1,809
136,5595,0,-5061.780,-810.586,495.252,1.257,1,809
137,6181,0,-5089.280,-782.950,495.279,5.777,1,809
138,5595,0,-5089.790,-772.627,495.047,2.042,1,809
139,5595,0,-5038.170,-772.612,494.338,2.094,1,809
140,5595,0,-5170.230,-754.750,463.225,1.588,1,809
141,5595,0,-5194.210,-737.037,447.468,1.710,1,809
142,5595,0,-5180.040,-728.633,447.649,2.025,1,809
143,721,0,-5150.630,-667.736,407.423,5.324,1,1
144,5595,0,-5050.710,-810.209,495.211,1.362,1,809
145,5595,0,-5254.440,-587.618,410.800,3.211,1,1
146,727,0,-5252.720,-509.481,386.113,2.013,1,1
147,721,0,-5184.310,-539.130,397.053,5.695,1,1
148,721,0,-5341.280,-524.720,391.613,2.805,1,1
149,727,0,-5264.380,-511.639,387.610,2.042,1,1
150,727,0,-5267.910,-513.285,388.708,2.129,1,1
151,1131,0,-5265.860,-448.053,388.326,3.206,1,1
152,727,0,-5373.570,-544.752,400.573,0.471,1,189
154,1126,0,-5365.240,-425.302,396.734,1.813,1,1
80197,721,0,-9152.420,-371.240,71.905,5.008,12,59
156,1126,0,-5245.930,-431.736,386.977,5.307,1,1
157,1131,0,-5299.230,-417.984,395.192,0.249,1,1
158,1126,0,-5428.320,-566.719,397.134,2.094,1,189
159,727,0,-5449.360,-509.000,397.373,4.974,1,131
160,4624,0,-14286.500,540.747,8.919,1.972,33,35
161,4624,0,-14488.500,460.438,30.715,0.070,33,35
162,4624,0,-14448.400,409.794,25.104,1.571,33,35
163,4624,0,-14461.700,478.294,26.860,3.508,33,35
164,4624,0,-14442.600,454.548,3.724,0.524,33,35
165,4624,0,-14466.600,447.940,15.506,1.501,33,35
166,721,0,-5440.510,-511.881,396.606,1.557,1,131
80192,721,0,-9038.390,-330.808,73.577,6.085,12,59
168,1131,0,-5426.520,-462.828,396.976,4.441,1,1
169,1125,0,-5488.250,-566.629,400.102,1.972,1,189
170,5893,1,-243.654,-4018.780,188.707,1.728,14,640
171,12363,0,-5458.530,-613.969,393.841,5.515,1,189
172,12367,0,-5460.760,-616.167,393.680,6.021,1,189
173,14553,0,-5449.280,-614.756,394.539,3.683,1,189
174,14552,0,-5452.320,-613.089,394.510,4.294,1,189
175,12366,0,-5455.750,-612.897,394.253,4.957,1,189
176,14551,0,-5447.830,-617.370,394.511,3.194,1,189
177,7955,0,-5451.600,-617.327,394.548,4.887,1,189
715,4624,0,-14437.200,399.063,31.727,2.061,33,35
179,1269,0,-5497.940,-455.835,395.438,5.637,1,131
180,1268,0,-5498.740,-457.929,395.438,0.074,1,131
181,1128,0,-5497.360,-433.361,406.167,0.052,1,131
182,4624,0,-14305.000,433.285,29.365,1.396,33,35
183,1125,0,-5526.670,-448.986,404.968,0.414,1,131
184,4631,0,-14298.200,539.636,8.934,4.800,33,35
185,1151,0,-11595.000,1265.730,1.778,0.603,33,301
186,5568,0,-5490.560,-454.010,398.021,3.787,1,131
187,727,0,-5684.308,-482.657,395.940,0.020,1,131
188,1234,0,-5604.440,-540.323,399.180,5.236,1,2102
191,1373,0,-5605.960,-544.451,392.430,0.977,1,2102
192,1228,0,-5586.940,-537.173,403.624,5.899,1,2102
193,1699,0,-5594.470,-545.820,398.850,1.815,1,2102
194,1232,0,-5586.760,-542.163,403.624,1.100,1,2102
195,1125,0,-5535.480,-584.877,407.413,4.657,1,189
196,1229,0,-5605.730,-530.385,399.738,0.175,1,2102
197,2326,0,-5604.490,-521.427,399.741,5.323,1,2102
198,9980,0,-5606.070,-513.113,402.286,1.588,1,131
199,1247,0,-5601.600,-531.203,399.737,2.129,1,2102
200,727,0,-5610.720,-490.063,397.684,2.199,1,131
201,1240,0,-5576.210,-422.031,397.409,4.206,1,131
202,1691,0,-5597.660,-521.852,399.738,4.817,1,2102
203,1872,0,-5573.780,-464.455,402.145,3.997,1,131
204,6806,0,-5590.810,-523.344,399.735,5.498,1,2102
205,727,0,-5565.500,-471.144,399.698,4.660,1,131
206,1226,0,-5590.560,-529.657,399.735,2.234,1,2102
207,1273,0,-5590.670,-428.416,397.409,5.463,1,131
208,1690,0,-5568.990,-429.114,397.409,3.805,1,131
209,1238,0,-5582.020,-423.100,397.409,5.009,1,131
210,1267,0,-5596.210,-504.132,400.714,2.443,1,131
211,727,0,-5551.040,-462.461,407.486,4.485,1,131
212,727,0,-5588.390,-464.152,401.810,4.092,1,131
213,1241,0,-5582.410,-430.970,397.326,5.393,1,131
214,727,0,-5591.730,-489.796,397.605,1.693,1,131
215,1128,0,-5523.850,-408.892,405.503,5.271,1,1
216,1245,0,-5576.370,-429.771,397.326,2.915,1,131
217,6328,0,-5639.400,-526.589,403.794,4.203,1,131
218,5612,0,-5640.000,-528.801,404.379,1.710,1,131
219,1692,0,-5633.440,-496.477,396.875,2.539,1,131
220,1252,0,-5644.370,-499.163,396.752,1.798,1,131
221,6119,0,-5642.650,-529.140,404.357,0.000,1,131
222,1231,0,-5618.540,-454.071,407.842,5.306,1,131
223,2878,0,-5649.980,-497.144,396.752,0.785,1,131
224,12427,0,-5668.690,-454.090,394.467,1.798,1,131
225,727,0,-5718.614,-546.761,398.931,2.241,1,131
226,721,0,-5695.180,-538.380,399.051,3.182,1,131
227,1125,0,-5749.120,-451.856,387.678,5.578,1,136
228,1128,0,-5691.400,-401.730,366.018,0.637,1,136
229,727,0,-5766.240,-538.648,417.304,2.421,1,1
230,1126,0,-5738.470,-563.367,398.559,3.676,1,1
231,721,0,-5778.440,-563.254,400.871,2.404,1,1
232,1125,0,-5850.310,-463.224,411.103,0.606,1,1
233,1128,0,-5788.580,-441.910,365.206,4.691,1,136
234,1201,0,-5818.510,-587.567,398.420,2.788,1,1
235,1125,0,-5802.700,-590.052,398.471,6.159,1,1
236,1125,0,-5851.360,-586.539,397.344,4.392,1,1
237,721,0,-5825.820,-567.082,399.865,5.678,1,1
238,1125,0,-5887.370,-531.523,398.322,5.460,1,1
239,721,0,-5857.990,-422.537,408.207,0.086,1,1
240,1199,0,-5796.580,-426.668,365.143,4.083,1,136
241,1125,0,-5914.710,-409.512,426.089,4.660,1,1
242,1196,0,-5957.030,-480.463,408.535,2.059,1,1
243,1125,0,-5903.860,-459.132,413.971,1.459,1,1
244,1201,0,-5956.080,-527.072,408.040,1.756,1,1
245,727,0,-6019.493,52.114,405.429,1.323,1,800
246,1125,0,-5980.070,-544.973,407.324,3.142,1,1
80128,721,0,-8840.980,-250.706,82.828,2.860,12,9
248,9046,0,-7575.140,-1289.980,278.258,1.676,25,25
249,7039,0,-7723.030,-2055.320,133.439,4.885,46,250
250,7037,0,-7829.940,-2138.960,134.546,3.855,46,250
251,7036,0,-7742.630,-1914.000,133.564,4.679,46,250
252,1126,0,-5975.720,-525.395,406.054,3.683,1,1
253,1125,0,-5983.240,-433.158,406.853,4.510,1,1
254,1125,0,-5972.710,-473.727,406.357,1.390,1,1
255,1125,0,-5951.970,-378.858,421.829,0.506,1,1
256,5875,1,1850.310,-4357.300,-14.798,5.323,1637,1637
257,1125,0,-6042.850,-447.638,451.031,0.454,1,1
258,1125,0,-6022.760,-417.791,412.982,5.741,1,1
259,727,0,-6016.420,-332.924,427.592,3.881,1,1
260,721,0,-6070.580,-333.541,431.606,2.874,1,1
261,1125,0,-6081.620,-382.515,435.241,0.035,1,1
262,1125,0,-6054.220,-330.745,427.426,2.572,1,1
263,1125,0,-6070.350,-285.940,428.220,1.496,1,1
264,1125,0,-6095.820,-274.277,445.173,3.570,1,1
265,1243,0,-6015.510,-201.511,407.437,0.035,1,1
266,10803,0,-6008.530,-199.145,406.687,4.372,1,1
267,10611,0,-6007.460,-202.158,407.081,2.438,1,1
268,10804,0,-6010.670,-199.434,406.792,5.533,1,1
269,10610,0,-6009.250,-202.650,406.983,1.588,1,1
270,1128,0,-6070.160,-261.253,429.958,5.521,1,1
271,721,0,-6030.780,-210.303,413.423,2.287,1,1
272,10805,0,-6007.300,-200.348,406.777,3.282,1,1
273,0,0,-12464.300,-989.308,49.910,3.840,33,105
274,0,0,-12469.500,-986.406,49.377,5.284,33,105
275,0,0,-12468.500,-996.564,49.802,1.361,33,105
276,0,0,-12462.200,-995.415,50.367,2.601,33,105
277,709,0,-12487.400,-985.333,46.792,1.979,33,105
278,709,0,-12222.600,-786.589,15.206,3.828,33,1740
279,9559,0,-14289.100,556.613,8.971,4.555,33,35
280,14876,0,-11899.400,1248.500,3.389,3.456,33,3357
281,14876,0,-11747.500,1263.670,6.131,4.852,33,3357
10053,0,0,-9263.246,-3208.555,102.128,3.827,44,1000
283,14876,0,-11751.100,1309.630,2.663,5.131,33,3357
284,14876,0,-11870.500,1214.860,7.805,5.079,33,3357
285,14876,0,-11787.000,1255.190,1.222,2.775,33,3357
8840,1280,0,-5433.620,-2884.020,345.496,3.997,38,38
8266,1283,0,-5835.770,-2581.630,311.248,2.339,38,924
288,14902,0,-11782.700,1244.030,3.083,2.478,33,3357
289,1199,0,-5913.930,-194.244,369.350,2.706,1,1
290,1125,0,-5988.830,-135.639,400.819,4.441,1,1
291,727,0,-5909.400,-68.111,387.972,4.086,1,1
292,1128,0,-5911.330,-111.367,371.934,3.110,1,1
293,1128,0,-5882.760,-102.271,367.709,1.364,1,1
294,1125,0,-5997.380,-99.828,407.436,1.030,1,1
295,721,0,-5898.930,-102.248,371.981,5.487,1,1
296,1199,0,-5869.490,-101.402,363.042,1.434,1,1
297,721,0,-5878.020,-13.715,361.047,5.012,1,1
298,1199,0,-5879.330,-110.480,364.747,0.743,1,1
299,1125,0,-5950.290,6.861,372.184,3.637,1,800
300,1125,0,-5917.650,21.037,366.743,2.194,1,800
301,1125,0,-5845.640,-2.041,357.578,4.135,1,1
302,1199,0,-5862.500,-4.166,357.203,0.181,1,1
303,1199,0,-5866.300,51.689,358.564,1.135,1,1
304,1128,0,-5846.960,51.633,357.689,0.792,1,1
305,1128,0,-5830.620,105.799,381.817,0.549,1,1
306,721,0,-5845.970,86.604,369.356,0.688,1,1
307,1125,0,-5834.050,78.968,365.870,0.167,1,1
309,14903,0,-11854.500,1242.120,21.796,0.332,33,3357
310,14905,0,-11752.300,1322.070,5.203,5.219,33,3357
311,14904,0,-11850.200,1244.700,4.657,5.952,33,3357
312,14910,0,-11828.300,1246.780,2.394,2.396,33,3357
313,14994,0,-11847.000,1280.860,3.165,6.178,33,3357
314,14911,0,-11835.300,1257.380,2.265,5.079,33,3357
315,16096,0,-12435.600,217.448,31.291,5.027,33,117
316,1146,0,-12357.800,155.552,4.329,1.292,33,117
318,1718,0,-6150.350,50.824,416.672,0.777,1,800
319,1718,0,-6123.150,78.188,417.071,0.316,1,800
321,1718,0,-6138.610,123.171,420.970,2.820,1,800
322,1718,0,-6155.710,84.814,415.915,4.844,1,800
323,1718,0,-6169.400,134.660,423.029,3.128,1,800
324,853,0,-6226.100,127.093,431.097,2.688,1,800
325,853,0,-6230.060,120.496,430.972,2.583,1,800
326,1718,0,-6205.470,99.902,430.335,2.271,1,800
327,853,0,-6233.770,117.782,431.417,1.623,1,800
328,853,0,-6225.610,133.180,431.678,2.670,1,800
329,853,0,-6244.800,125.788,431.167,0.663,1,800
330,6782,0,-6248.840,135.042,431.673,1.571,1,800
331,1965,0,-6235.870,152.989,428.399,2.042,1,800
332,705,0,-6201.740,212.113,398.799,3.246,1,132
333,708,0,-6230.690,212.320,395.626,4.702,1,132
334,853,0,-6236.734,321.102,382.642,0.220,1,132
335,707,0,-6322.070,208.885,395.879,1.199,1,132
336,724,0,-6296.630,244.471,390.969,1.839,1,800
337,705,0,-6176.970,254.691,386.853,1.164,1,132
338,705,0,-6305.790,260.452,381.868,3.722,1,132
339,708,0,-6150.360,264.527,391.214,1.239,1,132
340,707,0,-6331.140,268.768,380.622,2.682,1,132
341,707,0,-6305.150,272.656,380.252,5.070,1,132
342,707,0,-6324.980,294.269,379.937,0.242,1,132
343,721,0,-6318.270,272.283,380.002,0.753,1,132
344,705,0,-6287.250,328.127,376.507,2.409,1,132
345,705,0,-6312.600,309.104,378.437,3.573,1,132
346,705,0,-6279.530,279.643,382.529,4.640,1,132
347,705,0,-6326.060,287.113,379.794,4.540,1,132
348,11941,0,-6230.390,320.446,383.144,0.925,1,132
349,829,0,-6225.240,320.372,383.300,1.623,1,132
350,853,0,-6213.200,333.578,383.914,3.368,1,132
351,658,0,-6214.850,328.181,383.669,2.618,1,132
352,713,0,-6216.530,339.002,383.454,3.910,1,132
353,853,0,-6218.550,321.674,383.447,2.164,1,132
354,853,0,-6181.535,384.817,395.536,0.052,1,132
355,721,0,-6235.440,304.221,385.702,0.714,1,132
356,721,0,-6247.970,307.132,383.503,5.397,1,132
357,721,0,-6229.170,362.500,386.022,2.804,1,132
358,705,0,-6144.060,268.387,393.634,1.976,1,132
359,1064,0,-12375.300,130.875,21.178,4.852,33,117
360,1148,0,-12412.300,134.007,3.945,1.344,33,117
361,1387,0,-12417.500,144.474,3.369,0.611,33,117
362,1064,0,-12395.100,131.913,3.741,4.608,33,117
363,1064,0,-12334.500,176.827,3.298,6.231,33,117
364,1404,0,-12388.900,227.696,2.409,4.398,33,117
365,1064,0,-12349.700,194.657,4.298,3.159,33,117
366,14921,0,-11849.500,1259.080,6.881,4.416,33,3357
367,943,0,-11610.500,-698.739,31.090,1.047,33,101
368,3149,0,-12441.300,215.018,31.322,5.568,33,117
369,12137,0,-12417.800,208.329,31.322,3.194,33,117
370,3945,0,-14320.300,474.437,8.615,2.653,33,35
371,1550,0,-13273.900,-274.412,29.097,4.731,33,310
372,1551,0,-13203.300,-501.962,4.550,4.416,33,310
373,1551,0,-13228.000,-484.749,4.831,5.742,33,310
374,1551,0,-13206.300,-548.123,4.642,3.189,33,310
191395,0,0,-13461.000,185.827,45.174,1.260,33,1741
191389,0,0,-13492.200,174.070,43.446,0.416,33,1741
191393,0,0,-13478.200,178.213,43.019,3.125,33,1741
191390,0,0,-13490.700,192.088,43.680,2.712,33,1741
191392,0,0,-13483.300,182.835,42.852,3.438,33,1741
191396,0,0,-13477.100,209.896,37.311,3.910,33,1741
191391,0,0,-13484.400,180.311,42.750,2.094,33,1741
382,2672,0,-14677.500,497.890,1.760,3.019,33,43
383,7794,0,-14377.200,378.481,23.465,3.299,33,35
384,7802,0,-12039.900,-1009.150,49.505,3.560,33,33
385,15080,0,-11817.400,1336.960,1.115,4.416,33,3357
386,15070,0,-11842.300,1295.520,0.795,4.468,33,3357
387,7406,0,-14417.000,411.288,22.782,1.257,33,35
388,2496,0,-14439.000,483.483,28.928,2.339,33,35
389,2594,0,-14301.700,519.787,8.875,4.433,33,35
390,2634,0,-14596.700,-237.967,24.876,1.745,33,297
391,14875,0,-11812.300,1260.910,6.088,4.276,33,3357
392,1114,0,-12674.500,-914.881,54.090,5.123,33,33
393,1094,0,-11460.300,385.785,77.529,1.204,33,33
394,1094,0,-11498.900,446.148,68.164,0.314,33,33
395,1094,0,-11457.600,377.950,77.606,6.161,33,33
396,721,0,-6269.710,365.458,382.195,1.210,1,132
397,853,0,-6183.110,376.171,395.938,2.478,1,132
398,853,0,-6240.533,340.387,383.075,5.360,1,132
399,853,0,-6170.600,393.397,398.906,3.543,1,132
400,705,0,-6252.840,387.126,383.278,6.262,1,132
401,721,0,-6177.132,403.703,397.754,0.273,1,132
402,705,0,-6245.870,395.645,385.851,1.136,1,132
403,926,0,-6120.680,382.089,395.626,6.161,1,132
404,853,0,-6115.090,372.263,395.626,0.646,1,132
405,721,0,-6198.790,410.615,391.015,2.218,1,132
406,912,0,-6084.770,382.141,395.626,3.456,1,132
407,895,0,-6091.790,365.141,395.623,2.339,1,132
408,1104,0,-6104.500,384.030,395.626,0.227,1,132
409,945,0,-6101.100,390.569,395.626,2.356,1,132
410,853,0,-6086.530,390.964,395.625,3.578,1,132
411,853,0,-6065.815,383.761,393.757,6.250,1,132
412,8416,0,-6098.090,396.074,395.540,5.662,1,132
413,708,0,-6275.360,412.548,383.871,1.795,1,132
414,708,0,-6164.250,493.212,388.398,5.143,1,132
415,721,0,-6178.300,430.212,393.560,3.656,1,132
416,705,0,-6170.530,487.948,387.864,3.536,1,132
417,724,0,-6245.590,461.450,386.191,4.024,1,132
418,705,0,-6252.870,442.861,385.255,0.129,1,132
419,705,0,-6211.560,454.966,388.063,2.967,1,132
420,708,0,-6228.680,451.303,386.738,4.881,1,132
421,916,0,-6093.750,404.918,395.620,4.520,1,132
422,724,0,-6274.570,462.160,386.168,4.137,1,132
423,724,0,-6278.650,478.980,386.248,3.511,1,132
424,724,0,-6287.510,451.789,386.043,4.376,1,132
426,724,0,-6279.300,506.935,386.910,3.304,1,132
427,724,0,-6272.380,476.443,386.373,5.925,1,132
428,705,0,-6281.970,424.786,384.282,0.546,1,132
429,721,0,-6269.480,430.999,385.440,0.162,1,132
430,705,0,-6205.040,522.914,387.066,0.882,1,132
431,705,0,-6202.080,497.916,387.214,1.942,1,132
432,705,0,-6148.820,519.066,388.465,5.809,1,132
433,724,0,-6248.370,513.557,386.486,1.787,1,132
434,708,0,-6148.250,522.294,388.297,0.027,1,132
435,708,0,-6214.620,512.789,387.517,2.059,1,132
436,15076,0,-14449.900,479.185,15.187,5.358,33,35
437,873,0,-12189.200,653.294,-66.670,4.723,33,104
438,873,0,-12201.600,670.672,-69.982,0.385,33,104
439,871,0,-12221.900,663.417,-68.867,3.229,33,104
440,877,0,-12247.000,686.780,-70.144,5.784,33,104
441,905,0,-11885.100,-390.121,-14.091,4.567,33,37
442,905,0,-12021.300,-453.707,-7.291,3.820,33,37
443,0,0,-14969.300,344.615,0.304,0.000,33,43
444,0,0,-14949.200,345.674,0.304,0.000,33,43
445,0,0,-14941.600,351.522,0.304,0.000,33,43
446,0,0,-14955.800,342.362,0.221,0.228,33,43
447,0,0,-14958.200,354.408,0.304,0.000,33,43
448,724,0,-6259.870,494.038,386.704,4.384,1,132
449,3294,1,352.948,-4837.450,10.891,1.292,14,362
450,724,0,-6237.860,512.021,386.236,3.559,1,132
451,724,0,-6245.660,512.381,386.236,5.632,1,132
453,724,0,-6263.550,516.573,386.236,1.250,1,132
454,724,0,-6238.180,492.689,386.519,4.579,1,132
455,724,0,-6261.880,471.167,386.079,5.679,1,132
456,708,0,-6128.480,492.554,398.005,1.485,1,132
457,721,0,-6206.450,542.282,387.291,4.472,1,132
458,708,0,-6183.050,550.864,384.771,4.854,1,132
459,724,0,-6256.190,538.589,386.236,2.167,1,132
460,724,0,-6277.200,552.383,387.197,4.268,1,132
461,707,0,-6208.340,605.062,393.214,6.118,1,132
462,708,0,-6205.080,587.141,388.176,4.339,1,132
463,708,0,-6147.970,589.708,386.771,6.103,1,132
464,724,0,-6253.440,580.506,388.704,0.881,1,132
465,708,0,-6121.880,546.368,405.512,2.404,1,132
466,708,0,-6113.430,600.665,399.993,1.897,1,132
467,724,0,-6259.610,624.484,386.861,4.250,1,132
468,708,0,-6147.430,649.309,388.292,5.520,1,132
469,708,0,-6257.620,618.614,387.499,4.898,1,132
470,721,0,-6260.920,638.054,386.689,2.993,1,132
471,708,0,-6127.960,640.685,392.637,1.138,1,132
472,714,0,-6222.470,688.973,385.002,4.974,1,132
473,708,0,-6181.810,684.008,386.396,4.473,1,132
474,708,0,-6161.000,683.638,389.898,0.588,1,132
475,708,0,-6157.490,708.563,387.258,3.859,1,132
476,708,0,-6228.270,701.332,385.604,3.909,1,132
477,708,0,-6256.980,678.106,386.439,0.611,1,132
478,707,0,-6289.810,628.378,387.613,1.836,1,132
479,724,0,-6279.130,683.893,385.689,0.618,1,132
480,724,0,-6292.300,670.266,385.245,4.648,1,132
481,721,0,-6225.680,741.284,387.285,4.117,1,132
482,724,0,-6244.870,778.502,387.100,1.943,1,132
483,724,0,-6234.010,758.701,387.065,6.185,1,132
484,707,0,-6254.730,727.239,386.849,0.913,1,132
485,708,0,-6147.000,753.035,391.736,6.182,1,132
486,724,0,-6329.100,746.326,387.314,5.924,1,132
487,724,0,-6316.680,777.084,389.439,0.857,1,132
488,708,0,-6314.690,798.587,391.439,1.186,1,132
489,708,0,-6287.020,779.763,387.473,1.022,1,132
490,708,0,-6146.390,782.102,393.869,0.102,1,132
491,724,0,-6190.240,786.846,396.064,3.975,1,132
492,707,0,-6281.550,811.310,396.199,3.650,1,132
493,708,0,-6287.740,823.978,403.299,5.463,1,132
